Date,Open,High,Low,Close,Volume,OpenInt
2017-09-01,132,132.7,132,132.7,2163,0
2017-09-05,136.98,141.07,133.65,134.404,3280,0
2017-09-06,134.21,134.21,133.65,133.65,1653,0
2017-09-07,135,135,134.87,134.87,1191,0
2017-09-08,138.72,142.87,134.813,134.973,2704,0
2017-09-11,134.9,134.9,132.93,132.93,1287,0
2017-09-12,132.91,133.3,132.785,133.3,2512,0
2017-09-13,133.12,133.12,132.16,132.3,6859,0
2017-09-14,132.527,132.69,132.527,132.69,2930,0
2017-09-15,132.548,132.548,132.224,132.224,358,0
2017-09-18,131.27,131.27,130.664,130.69,1911,0
2017-09-19,132.66,132.66,130.61,130.61,661,0
2017-09-20,131.24,131.5,129.69,130.11,6420,0
2017-09-21,129.45,129.45,129.37,129.37,390,0
2017-09-22,129.65,129.74,129.65,129.74,582,0
2017-09-25,129.28,131,129.28,130.916,2810,0
2017-09-26,130.25,130.25,130.06,130.06,724,0
2017-09-27,128.42,128.553,128.38,128.4,4633,0
2017-09-28,128.49,128.65,128.49,128.65,745,0
2017-09-29,128.6,128.6,128.209,128.209,3012,0
2017-10-02,127.34,127.34,127.13,127.15,1380,0
2017-10-03,127.15,127.15,127.1,127.1,1367,0
2017-10-04,127.32,127.38,127.28,127.38,7122,0
2017-10-05,127.28,127.28,126.87,126.87,1765,0
2017-10-06,126.35,127.41,126.35,127.41,7652,0
2017-10-09,128.03,128.03,128.03,128.03,474,0
2017-10-10,129.03,129.17,128.81,128.819,3602,0
2017-10-11,129.06,129.35,129.06,129.28,15694,0
2017-10-13,129.91,130.11,129.91,130.11,1515,0
2017-10-16,129.73,129.73,129.23,129.23,2009,0
2017-10-17,128.48,128.48,128.48,128.48,218,0
2017-10-19,128.64,128.64,128.64,128.64,1560,0
2017-10-20,127.94,128.17,127.94,128.13,719,0
2017-10-23,127.36,128,127.36,127.979,1456,0
2017-10-24,127.57,127.97,127.57,127.97,1385,0
2017-10-26,127.06,127.06,127.01,127.01,3132,0
2017-10-27,126.67,126.83,126.67,126.83,600,0
2017-10-30,127.47,127.47,127.47,127.47,1404,0
2017-10-31,127.05,127.05,127.05,127.05,126,0
2017-11-01,127.38,127.51,127.38,127.51,246,0
2017-11-02,128.17,128.18,127.49,127.74,5520,0
2017-11-03,127.68,127.68,126.74,126.752,2335,0
2017-11-06,128.25,128.25,128.25,128.25,180,0
2017-11-07,127.97,127.97,127.62,127.62,1200,0
2017-11-09,128.88,128.88,128.77,128.83,1751,0
2017-11-10,127.98,127.98,127.98,127.98,360,0
2017-11-14,127.69,128.06,127.69,127.91,6336,0
2017-11-15,128.1,128.1,127.76,127.78,2900,0
2017-11-17,128.88,129.28,128.88,129.28,2553,0
2017-11-20,128.579,128.579,127.8,127.81,5425,0
2017-11-21,128.07,128.28,127.95,127.95,1874,0
2017-11-22,129.16,129.35,129.16,129.35,598,0
2017-11-27,129.44,129.5,129.21,129.5,1450,0
2017-11-28,129.23,129.23,129.23,129.23,400,0
2017-11-29,128.7,128.7,128.43,128.44,548,0
2017-11-30,127.52,127.52,127.52,127.52,326,0
2017-12-01,128.01,128.71,128,128,3930,0
2017-12-04,127.58,127.58,127.28,127.52,5475,0
2017-12-05,126.86,126.86,126.24,126.24,2527,0
2017-12-07,125.31,125.31,124.55,124.55,470,0
2017-12-08,124.75,124.75,124.703,124.703,221,0
2017-12-11,124.38,124.38,124.38,124.38,182,0
2017-12-12,123.68,123.68,123.68,123.68,606,0
2017-12-14,125.4,125.4,125.4,125.4,402,0
2017-12-15,125.78,125.78,125.35,125.59,792,0
2017-12-18,126.11,126.12,126.11,126.12,1821,0
